# SwapMemory Usage
Time: 2023-11-09 17:17:00, Used: 17351122944, Free: 3381739520, Used Percent: 83.688989%
Time: 2023-11-09 17:17:03, Used: 17344335872, Free: 3388526592, Used Percent: 83.656253%
Time: 2023-11-09 17:17:06, Used: 17342828544, Free: 3390033920, Used Percent: 83.648983%
Time: 2023-11-09 17:17:09, Used: 17343709184, Free: 3389153280, Used Percent: 83.653230%
Time: 2023-11-09 17:17:12, Used: 17341632512, Free: 3391229952, Used Percent: 83.643214%

# VirtualMemory Usage
Time: 2023-11-09 17:17:02, Used: 12053086208, Free: 4653244416, Used Percent: 72.000000%
Time: 2023-11-09 17:17:05, Used: 12054614016, Free: 4651716608, Used Percent: 72.000000%
Time: 2023-11-09 17:17:08, Used: 12053798912, Free: 4652531712, Used Percent: 72.000000%
Time: 2023-11-09 17:17:11, Used: 12054585344, Free: 4651745280, Used Percent: 72.000000%
